data,dim,size,alg,train,test,throughput
energy,2,1000000,sklearn,30.9,75.67,9383.5038
energy,4,1000000,sklearn,31.43,106.17,7267.44186
energy,8,1000000,sklearn,234.57,440.63,1481.042654
home,2,900000,sklearn,2.61,52.43091488,16351.47239
home,4,900000,sklearn,2.849239111,149.3674541,5912.623519
home,8,900000,sklearn,5.992555141,146.458977,5903.515612
shuttle,2,43500,sklearn,0.0733859539,0.5004849434,75801.02111
shuttle,4,43500,sklearn,0.06426000595,1.446791172,28787.90648
shuttle,7,43500,sklearn,0.08105611801,2.227002859,18847.0054
energy,2,1000000,ic2,12.4,5.85,54794.52055
energy,4,1000000,ic2,14.59,7.68,44903.45757
energy,8,1000000,ic2,17.57,11.98,33840.94755
home,2,900000,ic2,5.53,3.45,100222.7171
home,4,900000,ic2,6.49,5.52,74937.55204
home,8,900000,ic2,9.41,14.74,37267.08075
shuttle,2,43500,ic2,2.53,0.17,16111.11111
shuttle,4,43500,ic2,3.64,0.39,10794.04467
shuttle,7,43500,ic2,4.07,0.6,9314.775161
