dataset,dimension,data,algorithm,true_below,est_below,tp_below
energy,2,energy_d2,sklearn_t0,500,500,500
energy,4,energy_d4,sklearn_t0,500,500,500
energy,8,energy_d8,sklearn_t0,500,500,500
home,2,home_d2,sklearn_t0,500,500,500
home,4,home_d4,sklearn_t0,500,500,500
home,8,home_d8,sklearn_t0,500,500,500
shuttle,2,shuttle_d2,sklearn_t0,435,435,435
shuttle,4,shuttle_d4,sklearn_t0,435,435,435
shuttle,7,shuttle_d7,sklearn_t0,435,435,435
energy,2,energy_d2,sklearn_t1,500,480,480
energy,4,energy_d4,sklearn_t1,500,477,477
energy,8,energy_d8,sklearn_t1,500,424,424
home,2,home_d2,sklearn_t1,500,485,485
home,4,home_d4,sklearn_t1,500,460,460
home,8,home_d8,sklearn_t1,500,475,475
shuttle,2,shuttle_d2,sklearn_t1,435,428,428
shuttle,4,shuttle_d4,sklearn_t1,435,421,421
shuttle,7,shuttle_d7,sklearn_t1,435,423,423
energy,2,energy_d2,tkde,500,505,500
energy,4,energy_d4,tkde,500,504,500
energy,8,energy_d8,tkde,500,501,499
home,2,home_d2,tkde,500,498,498
home,4,home_d4,tkde,500,497,497
home,8,home_d8,tkde,500,498,498
shuttle,2,shuttle_d2,tkde,435,435,435
shuttle,4,shuttle_d4,tkde,435,433,433
shuttle,7,shuttle_d7,tkde,435,435,435
energy,2,energy_d2,ks_binned,500,476,476
energy,4,energy_d4,ks_binned,500,1810,489
home,2,home_d2,ks_binned,500,463,463
home,4,home_d4,ks_binned,500,541,408
shuttle,2,shuttle_d2,ks_binned,435,459,435
shuttle,4,shuttle_d4,ks_binned,435,55,55
energy,2,energy_d2,ks_unbinned,500,473,473
energy,4,energy_d4,ks_unbinned,500,452,452
home,2,home_d2,ks_unbinned,500,467,467
home,4,home_d4,ks_unbinned,500,344,344
shuttle,2,shuttle_d2,ks_unbinned,435,434,434
shuttle,4,shuttle_d4,ks_unbinned,435,384,384
