algorithm,dataset,dimension,true_below,est_below,tp_below,precision,recall,f_score
sklearn_t0,energy,2,500,500,500,1,1,1
sklearn_t0,energy,4,500,500,500,1,1,1
sklearn_t0,energy,8,500,500,500,1,1,1
sklearn_t0,home,2,500,500,500,1,1,1
sklearn_t0,home,4,500,500,500,1,1,1
sklearn_t0,home,8,500,500,500,1,1,1
sklearn_t0,shuttle,2,435,435,435,1,1,1
sklearn_t0,shuttle,4,435,435,435,1,1,1
sklearn_t0,shuttle,7,435,435,435,1,1,1
sklearn,energy,2,500,480,480,1,0.96,0.9795918367
sklearn,energy,4,500,477,477,1,0.954,0.9764585466
sklearn,energy,8,500,424,424,1,0.848,0.9177489177
sklearn,home,2,500,485,485,1,0.97,0.9847715736
sklearn,home,4,500,460,460,1,0.92,0.9583333333
sklearn,home,8,500,475,475,1,0.95,0.9743589744
sklearn,shuttle,2,435,428,428,1,0.983908046,0.9918887601
sklearn,shuttle,4,435,421,421,1,0.967816092,0.9836448598
sklearn,shuttle,7,435,423,423,1,0.9724137931,0.986013986
ic2,energy,2,500,505,500,0.9900990099,1,0.9950248756
ic2,energy,4,500,504,500,0.9920634921,1,0.9960159363
ic2,energy,8,500,501,499,0.996007984,0.998,0.997002997
ic2,home,2,500,498,498,1,0.996,0.997995992
ic2,home,4,500,497,497,1,0.994,0.9969909729
ic2,home,8,500,498,498,1,0.996,0.997995992
ic2,shuttle,2,435,435,435,1,1,1
ic2,shuttle,4,435,433,433,1,0.9954022989,0.9976958525
ic2,shuttle,7,435,435,435,1,1,1
ks,energy,2,500,476,476,1,0.952,0.9754098361
ks,energy,4,500,1810,489,0.2701657459,0.978,0.4233766234
ks,home,2,500,463,463,1,0.926,0.9615784008
ks,home,4,500,541,408,0.7541589649,0.816,0.7838616715
ks,shuttle,2,435,459,435,0.9477124183,1,0.9731543624
ks,shuttle,4,435,55,55,1,0.1264367816,0.2244897959
ks_unbinned,energy,2,500,473,473,1,0.946,0.9722507708
ks_unbinned,energy,4,500,452,452,1,0.904,0.9495798319
ks_unbinned,home,2,500,467,467,1,0.934,0.9658738366
ks_unbinned,home,4,500,344,344,1,0.688,0.8151658768
ks_unbinned,shuttle,2,435,434,434,1,0.9977011494,0.998849252
ks_unbinned,shuttle,4,435,384,384,1,0.8827586207,0.9377289377
