algorithm,dataset,dimension,dataset size,num_scored,train,score,effective_time,throughput
ic2,energy,1,500000,500000,2.68,1.62,4.3,116279.0698
ic2,energy,2,500000,500000,2.02,0.91,2.93,170648.4642
ic2,energy,3,500000,500000,2.08,1.71,3.79,131926.1214
ic2,energy,4,500000,500000,3.1,3.76,6.86,72886.29738
ic2,energy,5,500000,500000,4.16,5.51,9.67,51706.30817
ic2,energy,6,500000,500000,5.42,7.3,12.72,39308.1761
ic2,energy,7,500000,500000,8.91,11.34,20.25,24691.35802
ic2,energy,8,500000,500000,11.03,11.15,22.18,22542.83138
ic2,home,1,500000,500000,1.8,0.26,2.06,242718.4466
ic2,home,2,500000,500000,2.14,1.13,3.27,152905.1988
ic2,home,3,500000,500000,2.6,3.11,5.71,87565.67426
ic2,home,4,500000,500000,3.55,5.62,9.17,54525.62704
ic2,home,5,500000,500000,9.4,12.15,21.55,23201.85615
ic2,home,6,500000,500000,17.69,19.06,36.75,13605.44218
ic2,home,7,500000,500000,25.17,33.52,58.69,8519.338899
ic2,home,8,500000,500000,31.88,51.38,83.26,6005.28465
sklearn,energy,1,500000,2000,5.4,22.3,5580.4,89.59931188
sklearn,energy,2,500000,2000,5.5,21.7,5430.5,92.07255317
sklearn,energy,3,500000,2000,6.954792023,29.80651617,7458.583835,67.03685459
sklearn,energy,4,500000,2000,4.706804037,29.78713012,7451.489333,67.10067983
sklearn,energy,5,500000,2000,5.489247084,32.02243114,8011.097031,62.41342454
sklearn,energy,6,500000,2000,98.75897789,35.42613792,8955.293459,55.83289954
sklearn,energy,7,500000,2000,43.42380905,30.23266196,7601.5893,65.77571877
sklearn,energy,8,500000,2000,52.53717995,30.02579808,7558.986701,66.14643203
sklearn,home,1,500000,2000,1.441833973,13.00648999,3253.064332,153.7012334
sklearn,home,2,500000,2000,1.112314939,14.37291503,3594.341072,139.1075554
sklearn,home,3,500000,2000,1.198182106,21.34755182,5338.086138,93.66652899
sklearn,home,4,500000,2000,1.301551104,25.3460989,6337.826276,78.89140191
sklearn,home,5,500000,2000,1.308101892,18.33331394,4584.636587,109.0598983
sklearn,home,6,500000,2000,1.359539032,15.38934207,3848.695056,129.9141638
sklearn,home,7,500000,2000,1.571480989,15.62523699,3907.880728,127.9465866
sklearn,home,8,500000,2000,1.412457943,15.37181997,3844.367451,130.0604082
ks,energy,2,500000,500000,,,0.12,4166666.667
ks,energy,3,500000,500000,,,1.29,387596.8992
ks,energy,4,500000,500000,,,1240.77,402.9755716
ks,home,2,500000,500000,,,0.125,4000000
ks,home,3,500000,500000,,,0.281,1779359.431
ks,home,4,500000,500000,,,3778.94,132.3122357
naive,energy,1,500000,1000,0.3,17.898,8949.3,55.87029153
naive,energy,2,500000,1000,0.3,18.36,9180.3,54.46445105
naive,energy,3,500000,1000,0.3,22.43,11215.3,44.58195501
naive,energy,4,500000,1000,0.3,20.812,10406.3,48.04781719
naive,energy,5,500000,1000,0.3,23.051,11525.8,43.38093668
naive,energy,6,500000,1000,0.3,29.077,14538.8,34.39073376
naive,energy,7,500000,1000,0.3,28.3,14150.3,35.3349399
naive,energy,8,500000,1000,0.3,28.179,14089.8,35.48666411
naive,home,1,500000,1000,0.3,16.492,8246.3,60.6332537
naive,home,2,500000,1000,0.3,17.816,8908.3,56.12743172
naive,home,3,500000,1000,0.3,22.522,11261.3,44.39984726
naive,home,4,500000,1000,0.3,20.625,10312.8,48.48343806
naive,home,5,500000,1000,0.3,23.775,11887.8,42.05992698
naive,home,6,500000,1000,0.3,25.923,12961.8,38.57488929
naive,home,7,500000,1000,0.3,28.196,14098.3,35.46526886
naive,home,8,500000,1000,0.3,27.563,13781.8,36.27973124
