algorithm,dataset,dimension,throughput
naive,energy,2,60.6
naive,energy,4,48.3
naive,energy,8,31.3
naive,home,2,49.3
naive,home,4,44.1
naive,home,8,31.8
ic2,energy,2,168293.5039
ic2,energy,4,76569.67841
ic2,energy,8,21929.82456
ic2,home,2,154798.7616
ic2,home,4,52192.06681
ic2,home,8,5624.296963
sklearn,energy,2,89.61376467
sklearn,energy,4,67.97634423
sklearn,energy,8,61.76652254
sklearn,home,2,147.0112611
sklearn,home,4,80.62825537
sklearn,home,8,135.0840223
ks,energy,2,3401360.544
ks,energy,4,6775.067751
ks,home,2,3846153.846
ks,home,4,8023.106547
