algorithm,dataset,dim,num_kernels,num_test,num_train,out_path,test_time,train_time
ic2,bigdata/hep.csv,16,1680692421.0,36854,10500000,./ic2/out/hep_16.out,600346.0,254430.0
ic2,bigdata/hep.csv,3,3296425621.0,5067700,10500000,./ic2/out/hep_3.out,600001.0,45850.0
ic2,bigdata/hep.csv,8,2156670468.0,443972,10500000,./ic2/out/hep_8.out,600001.0,68737.0
ic2,bigdata/hep.csv,2,3855393654.0,11822664,10500000,./ic2/out/hep_2.out,600001.0,39615.0
ic2,bigdata/hep.csv,1,4459642163.0,13380687,10500000,./ic2/out/hep_1.out,600002.0,38921.0
ic2,bigdata/hep.csv,4,2825334879.0,2732629,10500000,./ic2/out/hep_4.out,600001.0,44852.0
ic2,bigdata/hep.csv,27,1431915719.0,7994,10500000,./ic2/out/hep_27.out,602154.0,687329.0
ic2,bigdata/hep.csv,16,4651500000.0,443,10500000,./simple/out/hep_16.out,600727.0,5696.0
ic2,bigdata/hep.csv,3,7917000000.0,754,10500000,./simple/out/hep_3.out,600333.0,753.0
ic2,bigdata/hep.csv,8,7350000000.0,700,10500000,./simple/out/hep_8.out,600331.0,2361.0
ic2,bigdata/hep.csv,2,9282000000.0,884,10500000,./simple/out/hep_2.out,600300.0,613.0
ic2,bigdata/hep.csv,1,10615500000.0,1011,10500000,./simple/out/hep_1.out,600336.0,304.0
ic2,bigdata/hep.csv,4,8683500000.0,827,10500000,./simple/out/hep_4.out,600080.0,1006.0
ic2,bigdata/hep.csv,27,3738000000.0,356,10500000,./simple/out/hep_27.out,601482.0,10972.0
sklearn,bigdata/hep.csv,16,,200,10500000,./sklearn/out/hep_16.out,209769.804001,977149.568796
sklearn,bigdata/hep.csv,3,,200,10500000,./sklearn/out/hep_3.out,3395.91813087,33927.1688461
sklearn,bigdata/hep.csv,8,,200,10500000,./sklearn/out/hep_8.out,17703.0410767,2783415.02595
sklearn,bigdata/hep.csv,2,,200,10500000,./sklearn/out/hep_2.out,5672.0430851,37039.7231579
sklearn,bigdata/hep.csv,1,,200,10500000,./sklearn/out/hep_1.out,32962.1078968,221619.550943
sklearn,bigdata/hep.csv,4,,200,10500000,./sklearn/out/hep_4.out,3047.15895653,31692.0979023
sklearn,bigdata/hep.csv,27,,200,10500000,./sklearn/out/hep_27.out,612248.643875,127108.664989
ic2,bigdata/hep.csv,16,3328801802.0,434,10500000,./rkde/out/hep_16.out,600972.0,93938.0
ic2,bigdata/hep.csv,3,3494986716.0,18478,10500000,./rkde/out/hep_3.out,600033.0,27207.0
ic2,bigdata/hep.csv,8,4673598476.0,4516,10500000,./rkde/out/hep_8.out,600018.0,35051.0
ic2,bigdata/hep.csv,2,3924737869.0,12639,10500000,./rkde/out/hep_2.out,600025.0,22151.0
ic2,bigdata/hep.csv,1,3449584047.0,3155,10500000,./rkde/out/hep_1.out,600050.0,21688.0
ic2,bigdata/hep.csv,4,3710056693.0,14854,10500000,./rkde/out/hep_4.out,600026.0,27660.0
ic2,bigdata/hep.csv,27,2576799678.0,197,10500000,./rkde/out/hep_27.out,601253.0,242983.0
