algorithm,dataset,dim,num_kernels,num_test,num_train,out_path,test_time,train_time
ic2,bigdata/pmnist.csv,128,826037224.0,9116,70000,./rkde/out/mnist_128.out,600009.0,216834.0
ic2,bigdata/pmnist.csv,4,13402419642.0,192399,70000,./rkde/out/mnist_4.out,600004.0,1848.0
ic2,bigdata/pmnist.csv,64,1420555678.0,15677,70000,./rkde/out/mnist_64.out,600013.0,70896.0
ic2,bigdata/pmnist.csv,32,2680633962.0,29583,70000,./rkde/out/mnist_32.out,600008.0,38941.0
ic2,bigdata/pmnist.csv,2,14370217653.0,308759,70000,./rkde/out/mnist_2.out,600002.0,727.0
ic2,bigdata/pmnist.csv,1,15113352745.0,316790,70000,./rkde/out/mnist_1.out,600003.0,565.0
ic2,bigdata/pmnist.csv,16,5881887646.0,64915,70000,./rkde/out/mnist_16.out,600010.0,19572.0
ic2,bigdata/pmnist.csv,8,9428078579.0,107049,70000,./rkde/out/mnist_8.out,600005.0,9662.0
ic2,bigdata/pmnist.csv,256,479982358.0,5297,70000,./rkde/out/mnist_256.out,600073.0,2474.0
ic2,bigdata/pmnist.csv,128,556035750.0,20668,70000,./ic2/out/mnist_128.out,600009.0,199934.0
ic2,bigdata/pmnist.csv,4,4689741609.0,2832194,70000,./ic2/out/mnist_4.out,600001.0,2128.0
ic2,bigdata/pmnist.csv,64,1021051882.0,52084,70000,./ic2/out/mnist_64.out,600004.0,61748.0
ic2,bigdata/pmnist.csv,32,1644364606.0,80473,70000,./ic2/out/mnist_32.out,600005.0,34839.0
ic2,bigdata/pmnist.csv,2,7712489044.0,35861992,70000,./ic2/out/mnist_2.out,600001.0,513.0
ic2,bigdata/pmnist.csv,1,9230969731.0,220623559,70000,./ic2/out/mnist_1.out,600001.0,712.0
ic2,bigdata/pmnist.csv,16,2678902406.0,160585,70000,./ic2/out/mnist_16.out,600002.0,21472.0
ic2,bigdata/pmnist.csv,8,3214130182.0,313171,70000,./ic2/out/mnist_8.out,600002.0,12014.0
ic2,bigdata/pmnist.csv,256,302155807.0,10096,70000,./ic2/out/mnist_256.out,600005.0,637142.0
sklearn,bigdata/pmnist.csv,128,,30000,70000,./sklearn/out/mnist_128.out,1208284.2817306519,1035.1829528808594
sklearn,bigdata/pmnist.csv,4,,30000,70000,./sklearn/out/mnist_4.out,175998.45552444458,44.782161712646484
sklearn,bigdata/pmnist.csv,64,,30000,70000,./sklearn/out/mnist_64.out,897129.8167705536,1349.9102592468262
sklearn,bigdata/pmnist.csv,32,,30000,70000,./sklearn/out/mnist_32.out,551798.4125614166,249.68647956848145
sklearn,bigdata/pmnist.csv,2,,30000,70000,./sklearn/out/mnist_2.out,118284.39021110535,51.038503646850586
sklearn,bigdata/pmnist.csv,1,,30000,70000,./sklearn/out/mnist_1.out,118995.01371383667,173.83575439453125
sklearn,bigdata/pmnist.csv,16,,30000,70000,./sklearn/out/mnist_16.out,367519.43039894104,148.60892295837402
sklearn,bigdata/pmnist.csv,8,,30000,70000,./sklearn/out/mnist_8.out,283517.93098449707,73.03571701049805
sklearn,bigdata/pmnist.csv,256,,30000,70000,./sklearn/out/mnist_256.out,1874815.6144618988,2051.6581535339355
ic2,bigdata/pmnist.csv,128,1049720000.0,14996,70000,./simple/out/mnist_128.out,600012.0,406.0
ic2,bigdata/pmnist.csv,4,10873940000.0,155342,70000,./simple/out/mnist_4.out,600001.0,105.0
ic2,bigdata/pmnist.csv,64,2009420000.0,28706,70000,./simple/out/mnist_64.out,600001.0,244.0
ic2,bigdata/pmnist.csv,32,4071060000.0,58158,70000,./simple/out/mnist_32.out,600005.0,135.0
ic2,bigdata/pmnist.csv,2,13247150000.0,189245,70000,./simple/out/mnist_2.out,600001.0,128.0
ic2,bigdata/pmnist.csv,1,12998440000.0,185692,70000,./simple/out/mnist_1.out,600001.0,146.0
ic2,bigdata/pmnist.csv,16,6471080000.0,92444,70000,./simple/out/mnist_16.out,600015.0,215.0
ic2,bigdata/pmnist.csv,8,9244200000.0,132060,70000,./simple/out/mnist_8.out,600003.0,110.0
ic2,bigdata/pmnist.csv,256,537250000.0,7675,70000,./simple/out/mnist_256.out,600072.0,935.0
ic2,bigdata/mnist.csv,784,133337157,3404,70000,./ic2/out/mnist_784.out,600007,1064866
ic2,bigdata/mnist.csv,784,148050000,2115,70000,./simple/out/mnist_784.out,600017,114
ic2,bigdata/mnist.csv,784,177083100.0,2050,70000,./rkde/out/mnist_784.out,600142.0,2527.0
sklearn,bigdata/mnist.csv,784,,1000,70000,./sklearn/out/mnist_784.out,143473.464012,16396.435976
