algorithm,dataset,dim,num_kernels,num_test,num_train,out_path,test_time,train_time
ic2,bigdata/bgauss.csv,2,718506587.0,500,100000000,./rkde/out/bgauss.out,102674.0,239050.0
ic2,bigdata/otmy3.csv,4,794857960.0,1000,1822080,./rkde/out/tmy3_4.out,55357.0,3150.0
ic2,bigdata/pmnist.csv,64,244385958.0,2697,70000,./rkde/out/mnist_64.out,120012.0,628.0
ic2,bigdata/hep.csv,27,4995112330.0,400,10500000,./rkde/out/hep.out,1158702.0,41894.0
ic2,bigdata/otmy3.csv,8,915004994.0,1000,1822080,./rkde/out/tmy3.out,126393.0,3424.0
ic2,bigdata/homesensor.csv,10,311330308.0,1000,928991,./rkde/out/home.out,40516.0,2317.0
ic2,bigdata/bgauss.csv,2,9997516854.0,10000000,100000000,./ic2/out/bgauss.out,143275.0,379299.0
ic2,bigdata/otmy3.csv,4,878294732.0,1000000,1822080,./ic2/out/tmy3_4.out,23254.0,8506.0
ic2,bigdata/pmnist.csv,64,195288446.0,10000,70000,./ic2/out/mnist_64.out,108900.0,49251.0
ic2,bigdata/hep.csv,27,718330788.0,4000,10500000,./ic2/out/hep.out,317261.0,668047.0
ic2,bigdata/otmy3.csv,8,1755910439.0,1000000,1822080,./ic2/out/tmy3.out,114369.0,26395.0
ic2,bigdata/homesensor.csv,10,3134660092.0,900000,928991,./ic2/out/home.out,635185.0,123010.0
sklearn,bigdata/bgauss.csv,2,,100,100000000,./sklearn/out/bgauss.out,11164.405345916748,565727.5252342224
sklearn,bigdata/otmy3.csv,4,,500,1822080,./sklearn/out/tmy3_4.out,44399.37400817871,129303.56740951538
sklearn,bigdata/pmnist.csv,64,,3000,70000,./sklearn/out/mnist_64.out,78940.54245948792,512.7177238464355
sklearn,bigdata/hep.csv,27,,200,10500000,./sklearn/out/hep.out,456172.5740432739,120284.6429347992
sklearn,bigdata/otmy3.csv,8,,500,1822080,./sklearn/out/tmy3.out,69299.33738708496,579061.8786811829
sklearn,bigdata/homesensor.csv,10,,10000,928991,./sklearn/out/home.out,147192.1055316925,2050.9731769561768
ic2,bigdata/bgauss.csv,2,10000000000.0,100,100000000,./simple/out/bgauss.out,864696.0,3265.0
ic2,bigdata/otmy3.csv,4,1873098240.0,1028,1822080,./simple/out/tmy3_4.out,120003.0,331.0
ic2,bigdata/pmnist.csv,64,70000000.0,1000,70000,./simple/out/mnist_64.out,20362.0,337.0
ic2,bigdata/hep.csv,27,4200000000.0,400,10500000,./simple/out/hep.out,644336.0,10528.0
ic2,bigdata/otmy3.csv,8,1822080000.0,1000,1822080,./simple/out/tmy3.out,158801.0,683.0
ic2,bigdata/homesensor.csv,10,928991000.0,1000,928991,./simple/out/home.out,97505.0,601.0
ic2,bigdata/bgauss.csv,2,343563708.0,500,100000000,./nocut/out/bgauss.out,65011.0,237951.0
ic2,bigdata/otmy3.csv,4,916264588.0,1000,1822080,./nocut/out/tmy3_4.out,127202.0,3012.0
ic2,bigdata/pmnist.csv,64,168179584.0,1856,70000,./nocut/out/mnist_64.out,120043.0,685.0
ic2,bigdata/hep.csv,27,4730155552.0,400,10500000,./nocut/out/hep.out,1878145.0,48956.0
ic2,bigdata/otmy3.csv,8,1048052167.0,1000,1822080,./nocut/out/tmy3.out,277259.0,3147.0
ic2,bigdata/homesensor.csv,10,237284174.0,1000,928991,./nocut/out/home.out,53646.0,3100.0
ks,bigdata/bgauss.csv,2,,100000000,100000000,./ks/out/bgauss.out,15718.0,0.0
ks,bigdata/otmy3.csv,4,,100000,1822080,./ks/out/tmy3_4.out,51340.0,0.0
ic2,bigdata/sift.csv,64.0,500419974.0,1584.0,11164866.0,./ic2/out/sift_64.out,600714.0,950137.0
ic2,bigdata/sift.csv,64.0,746484102.0,52.0,11164866.0,./nocut/out/sift_64.out,603376.0,90736.0
ic2,bigdata/sift.csv,64.0,1965016416.0,176.0,11164866.0,./simple/out/sift_64.out,601480.0,45408.0
ic2,bigdata/sift.csv,64.0,884426490.0,63.0,11164866.0,./rkde/out/sift_64.out,602354.0,119921.0
sklearn,bigdata/sift.csv,64,,60,11164866,./sklearn/out/sift_64.out,244445.482016,43160504.9951
ic2,bigdata/pmnist.csv,256,479982358.0,5297,70000,./rkde/out/mnist_256.out,600073.0,2474.0
sklearn,bigdata/pmnist.csv,256,,30000,70000,./sklearn/out/mnist_256.out,1874815.6144618988,2051.6581535339355
ic2,bigdata/pmnist.csv,256,537250000.0,7675,70000,./simple/out/mnist_256.out,600072.0,935.0
ic2,bigdata/pmnist.csv,256,63339186.0,699,70000,./nocut/out/mnist_256.out,120133.0,2275.0
ic2,bigdata/pmnist.csv,256,302155807.0,10096,70000,./ic2/out/mnist_256.out,600005.0,637142.0
