algorithm,dataset,dim,num_kernels,num_test,num_train,out_path,test_time,train_time
ic2,bigdata/hep.csv,27,422764856,7186,2560000,./ic2/out/hep_n8.out,180004,183007
ic2,bigdata/hep.csv,27,378328667,11828,1280000,./ic2/out/hep_n7.out,180017,179446
ic2,bigdata/hep.csv,27,487258346,70548,160000,./ic2/out/hep_n4.out,180015,27349
ic2,bigdata/hep.csv,27,443672804,35309,320000,./ic2/out/hep_n5.out,180001,53788
ic2,bigdata/hep.csv,27,436014613,2534,10240000,./ic2/out/hep_n10.out,182211,697916
ic2,bigdata/hep.csv,27,646382994,397579,20000,./ic2/out/hep_n1.out,180001,6286
ic2,bigdata/hep.csv,27,652746626,259981,40000,./ic2/out/hep_n2.out,180001,8823
ic2,bigdata/hep.csv,27,378182851,3726,5120000,./ic2/out/hep_n9.out,180020,699977
ic2,bigdata/hep.csv,27,350043125,18683,640000,./ic2/out/hep_n6.out,180004,112328
ic2,bigdata/hep.csv,27,719545927,675177,10000,./ic2/out/hep_n0.out,180001,3732
ic2,bigdata/hep.csv,27,513961015,122617,80000,./ic2/out/hep_n3.out,180001,16743
ic2,bigdata/hep.csv,27,1111840000,13898,80000,./simple/out/hep_n3.txt,180007,200
ic2,bigdata/hep.csv,27,1492460000,149246,10000,./simple/out/hep_n0.txt,180002,124
ic2,bigdata/hep.csv,27,896320000,2801,320000,./simple/out/hep_n5.txt,180046,489
ic2,bigdata/hep.csv,27,884480000,691,1280000,./simple/out/hep_n7.txt,180190,2177
ic2,bigdata/hep.csv,27,1105920000,216,5120000,./simple/out/hep_n9.txt,180140,6481
ic2,bigdata/hep.csv,27,1167360000,456,2560000,./simple/out/hep_n8.txt,180113,2124
ic2,bigdata/hep.csv,27,1465020000,73251,20000,./simple/out/hep_n1.txt,180003,156
ic2,bigdata/hep.csv,27,1499280000,37482,40000,./simple/out/hep_n2.txt,180004,142
ic2,bigdata/hep.csv,27,1131840000,7074,160000,./simple/out/hep_n4.txt,180018,328
ic2,bigdata/hep.csv,27,1034240000,101,10240000,./simple/out/hep_n10.txt,180833,10001
ic2,bigdata/hep.csv,27,898560000,1404,640000,./simple/out/hep_n6.txt,180097,825
ic2,bigdata/hep.csv,27,1053197144,10111,80000,./rkde/out/hep_n3.txt,180013,18091
ic2,bigdata/hep.csv,27,487267763,37168,10000,./rkde/out/hep_n0.txt,180001,16370
ic2,bigdata/hep.csv,27,643628713,1551,320000,./rkde/out/hep_n5.txt,180063,51757
ic2,bigdata/hep.csv,27,773297329,470,1280000,./rkde/out/hep_n7.txt,180231,174796
ic2,bigdata/hep.csv,27,834989970,130,5120000,./rkde/out/hep_n9.txt,181219,698405
ic2,bigdata/hep.csv,27,675413836,207,2560000,./rkde/out/hep_n8.txt,180131,223858
ic2,bigdata/hep.csv,27,1058743851,40783,20000,./rkde/out/hep_n1.txt,180002,7285
ic2,bigdata/hep.csv,27,1170303980,22615,40000,./rkde/out/hep_n2.txt,180002,15363
ic2,bigdata/hep.csv,27,782769421,3757,160000,./rkde/out/hep_n4.txt,180014,25895
ic2,bigdata/hep.csv,27,590115445,47,10240000,./rkde/out/hep_n10.txt,183638,986375
ic2,bigdata/hep.csv,27,647991306,786,640000,./rkde/out/hep_n6.txt,180083,96964
