algorithm,dataset,dim,num_kernels,num_test,num_train,out_path,test_time,train_time
ic2,bigdata/bgauss.csv,2,27959268.0,10000,10000,./rkde/out/gauss_n0.txt,1940.0,156.0
ic2,bigdata/bgauss.csv,2,5582856430.0,51493,2430000,./rkde/out/gauss_n5.txt,600013.0,3724.0
ic2,bigdata/bgauss.csv,2,10549780329.0,205641,810000,./rkde/out/gauss_n4.txt,600005.0,1245.0
ic2,bigdata/bgauss.csv,2,171309916.0,30000,30000,./rkde/out/gauss_n1.txt,7862.0,170.0
ic2,bigdata/bgauss.csv,2,3447915376.0,7091,21870000,./rkde/out/gauss_n7.txt,600071.0,105236.0
ic2,bigdata/bgauss.csv,2,6602112747.0,270000,270000,./rkde/out/gauss_n3.txt,330233.0,799.0
ic2,bigdata/bgauss.csv,2,5085994677.0,22165,7290000,./rkde/out/gauss_n6.txt,600050.0,11018.0
ic2,bigdata/bgauss.csv,2,1058296414.0,90000,90000,./rkde/out/gauss_n2.txt,50067.0,359.0
ic2,bigdata/bgauss.csv,2,3200983571.0,3076,65610000,./rkde/out/gauss_n8.txt,600225.0,147074.0
ic2,bigdata/bgauss.csv,2,959674144.0,10000000,10000,./ic2/out/gauss_n0.out,9265.0,489.0
ic2,bigdata/bgauss.csv,2,1218179181.0,10000000,30000,./ic2/out/gauss_n1.out,10231.0,840.0
ic2,bigdata/bgauss.csv,2,5901218738.0,10000000,21870000,./ic2/out/gauss_n7.out,59718.0,70317.0
ic2,bigdata/bgauss.csv,2,1889452500.0,10000000,270000,./ic2/out/gauss_n3.out,15555.0,2083.0
ic2,bigdata/bgauss.csv,2,2426425898.0,10000000,810000,./ic2/out/gauss_n4.out,21214.0,3361.0
ic2,bigdata/bgauss.csv,2,3159227781.0,10000000,2430000,./ic2/out/gauss_n5.out,26611.0,8385.0
ic2,bigdata/bgauss.csv,2,4245819604.0,10000000,7290000,./ic2/out/gauss_n6.out,39807.0,22181.0
ic2,bigdata/bgauss.csv,2,1475469617.0,10000000,90000,./ic2/out/gauss_n2.out,13470.0,1305.0
ic2,bigdata/bgauss.csv,2,8619356834.0,10000000,65610000,./ic2/out/gauss_n8.out,103010.0,256929.0
sklearn,bigdata/bgauss.csv,2,,10000,10000,./sklearn/out/gauss_n0.out,1621.2756633758545,7.749080657958984
sklearn,bigdata/bgauss.csv,2,,30000,30000,./sklearn/out/gauss_n1.out,9536.938190460205,17.476558685302734
sklearn,bigdata/bgauss.csv,2,,4572,21870000,./sklearn/out/gauss_n7.out,192745.38207054138,90324.45335388184
sklearn,bigdata/bgauss.csv,2,,270000,270000,./sklearn/out/gauss_n3.out,322806.23602867126,194.0314769744873
sklearn,bigdata/bgauss.csv,2,,123456,810000,./sklearn/out/gauss_n4.out,304507.7030658722,767.0490741729736
sklearn,bigdata/bgauss.csv,2,,41152,2430000,./sklearn/out/gauss_n5.out,283080.5468559265,3090.529203414917
sklearn,bigdata/bgauss.csv,2,,13717,7290000,./sklearn/out/gauss_n6.out,277531.79478645325,37116.6045665741
sklearn,bigdata/bgauss.csv,2,,90000,90000,./sklearn/out/gauss_n2.out,58042.389154434204,68.88365745544434
sklearn,bigdata/bgauss.csv,2,,1524,65610000,./sklearn/out/gauss_n8.out,138137.6016139984,369249.4201660156
ic2,bigdata/bgauss.csv,2,10000000.0,1000,10000,./simple/out/gauss_n0.txt,835.0,108.0
ic2,bigdata/bgauss.csv,2,121500000.0,50,2430000,./simple/out/gauss_n5.txt,7830.0,3164.0
ic2,bigdata/bgauss.csv,2,810000000.0,1000,810000,./simple/out/gauss_n4.txt,45123.0,174.0
ic2,bigdata/bgauss.csv,2,30000000.0,1000,30000,./simple/out/gauss_n1.txt,1710.0,113.0
ic2,bigdata/bgauss.csv,2,1093500000.0,50,21870000,./simple/out/gauss_n7.txt,85325.0,1270.0
ic2,bigdata/bgauss.csv,2,270000000.0,1000,270000,./simple/out/gauss_n3.txt,13352.0,170.0
ic2,bigdata/bgauss.csv,2,364500000.0,50,7290000,./simple/out/gauss_n6.txt,23375.0,467.0
ic2,bigdata/bgauss.csv,2,90000000.0,1000,90000,./simple/out/gauss_n2.txt,4834.0,137.0
ic2,bigdata/bgauss.csv,2,3280500000.0,50,65610000,./simple/out/gauss_n8.txt,167715.0,2420.0
